#****  HMS RUNS *****
#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_b11_20degm3p04  20.00  3040  0.00   0.00   0.00   0.00   0.2600  20.89
hms_mc_b11_20degm2p71  20.00  2710  0.00   0.00   0.00   0.00   0.2600  20.89
hms_mc_b11_20degm2p42  20.00  2420  0.00   0.00   0.00   0.00   0.2600  20.89

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_c_20degm6p6   20.00  6600  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm5p878 20.00  5878  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm5p36  20.00  5360  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm4p78  20.00  4780  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm4p27  20.00  4270  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm3p81  20.00  3810  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm3p4   20.00  3400  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm3p04  20.00  3040  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm2p71  20.00  2710  0.00   0.00   0.00   0.00   0.2870  21.35
hms_mc_c_20degm2p42  20.00  2420  0.00   0.00   0.00   0.00   0.2870  21.35

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_ca40_20degm6p6   20.00  6600  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm5p878 20.00  5878  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm5p36  20.00  5360  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm4p78  20.00  4780  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm4p27  20.00  4270  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm3p81  20.00  3810  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm3p4   20.00  3400  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm3p04  20.00  3040  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm2p71  20.00  2710  0.00   0.00   0.00   0.00   0.5079  10.42
hms_mc_ca40_20degm2p42  20.00  2420  0.00   0.00   0.00   0.00   0.5079  10.42

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_ca48_20degm6p6   20.00  6600  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm5p878 20.00  5878  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm5p36  20.00  5360  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm4p78  20.00  4780  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm4p27  20.00  4270  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm3p81  20.00  3810  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm3p4   20.00  3400  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm3p04  20.00  3040  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm2p71  20.00  2710  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_20degm2p42  20.00  2420  0.00   0.00   0.00   0.00   0.5763  10.42

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_cu_20degm6p6   20.00  6600  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm5p878 20.00  5878  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm5p36  20.00  5360  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm4p78  20.00  4780  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm4p27  20.00  4270  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm3p81  20.00  3810  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm3p4   20.00  3400  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm3p04  20.00  3040  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm2p71  20.00  2710  0.00   0.00   0.00   0.00   0.1051  1.435
hms_mc_cu_20degm2p42  20.00  2420  0.00   0.00   0.00   0.00   0.1051  1.435

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_d2_20degm6p6   20.00  6600  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm5p878 20.00  5878  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm5p36  20.00  5360  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm4p78  20.00  4780  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm4p27  20.00  4270  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm3p81  20.00  3810  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm3p4   20.00  3400  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm3p04  20.00  3040  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm2p71  20.00  2710  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_20degm2p42  20.00  2420  0.00   0.00   0.00   0.00   9.998  754.3

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_fe54_20degm6p6   20.00  6600  0.00   0.00   0.00   0.00   0.0482  1.758
hms_mc_fe54_20degm5p878 20.00  5878  0.00   0.00   0.00   0.00   0.0482  1.758
hms_mc_fe54_20degm5p36  20.00  5360  0.00   0.00   0.00   0.00   0.0482  1.758
hms_mc_fe54_20degm4p78  20.00  4780  0.00   0.00   0.00   0.00   0.0482  1.758
hms_mc_fe54_20degm4p27  20.00  4270  0.00   0.00   0.00   0.00   0.0482  1.758
